BUSINESS FOCUS,Cash Management,Derivatives,FX/MM,Not selected,Payments,Securities,Trade Services
CONFERENCE OVERFLOW,82.0,8.0,18.0,9.0,230.0,48.0,67.0
bigissuedebate/plenary,586.0,65.0,136.0,174.0,1816.0,582.0,457.0
changeday,32.0,3.0,4.0,20.0,94.0,77.0,19.0
community,355.0,35.0,53.0,31.0,1384.0,196.0,245.0
complianceforum,109.0,16.0,27.0,33.0,580.0,150.0,155.0
corporateforum,566.0,13.0,37.0,28.0,481.0,77.0,192.0
generalinterest,87.0,14.0,15.0,13.0,229.0,157.0,44.0
innotribe,194.0,32.0,73.0,45.0,935.0,182.0,187.0
investmentmanagerforum,38.0,20.0,14.0,9.0,84.0,172.0,70.0
marketinfrastructuresforum,75.0,34.0,22.0,15.0,380.0,343.0,60.0
sibosuniversity,89.0,13.0,25.0,17.0,314.0,91.0,63.0
swiftauditorium,121.0,11.0,29.0,25.0,455.0,125.0,51.0
technologyforum,101.0,14.0,35.0,23.0,507.0,153.0,92.0